Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8208391,MCV2,COUNTRY,MEX,AMR,Americas,YEAR,2016,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
8284577,MCV2,COUNTRY,LUX,EUR,Europe,YEAR,2015,,,,,,,,,86,86,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
4465621,MCV2,COUNTRY,URY,AMR,Americas,YEAR,2020,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2020,2020-01-01,2020-12-31
5380079,MCV2,COUNTRY,GBR,EUR,Europe,YEAR,2011,,,,,,,,,85,85,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
4807458,MCV2,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
1600306,MCV2,GLOBAL,GLOBAL,,,YEAR,2004,,,,,,,,,22,22,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
8893155,MCV2,COUNTRY,KAZ,EUR,Europe,YEAR,2011,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
157588,MCV2,COUNTRY,HUN,EUR,Europe,YEAR,2021,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
189317,MCV2,COUNTRY,USA,AMR,Americas,YEAR,2019,,,,,,,,,95,95,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
252799,MCV2,COUNTRY,GIN,AFR,Africa,YEAR,2016,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
1929096,MCV2,COUNTRY,SRB,EUR,Europe,YEAR,2016,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
322399,MCV2,COUNTRY,BOL,AMR,Americas,YEAR,2016,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
7561503,MCV2,COUNTRY,DOM,AMR,Americas,YEAR,2019,,,,,,,,,60,60,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
404854,MCV2,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,92,92,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
3871098,MCV2,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
9458249,MCV2,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,57,57,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
2525481,MCV2,COUNTRY,ISR,EUR,Europe,YEAR,2016,,,,,,,,,97,97,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
5277793,MCV2,COUNTRY,JAM,AMR,Americas,YEAR,2023,,,,,,,,,89,89,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
6908557,MCV2,COUNTRY,KEN,AFR,Africa,YEAR,2021,,,,,,,,,71,71,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
8563286,MCV2,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2008,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
5618902,MCV2,COUNTRY,SUR,AMR,Americas,YEAR,2006,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
8791497,MCV2,COUNTRY,NZL,WPR,Western Pacific,YEAR,2005,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
8791504,MCV2,COUNTRY,ROU,EUR,Europe,YEAR,2024,,,,,,,,,62,62,,,,2025-07-14T16:23:12Z,2024,2024-01-01,2024-12-31
5739272,MCV2,COUNTRY,FRA,EUR,Europe,YEAR,2006,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
8931319,MCV2,COUNTRY,IND,SEAR,South-East Asia,YEAR,2019,,,,,,,,,84,84,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
3434201,MCV2,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2011,,,,,,,,,83,83,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
9077472,MCV2,COUNTRY,PNG,WPR,Western Pacific,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
1929102,MCV2,COUNTRY,PRT,EUR,Europe,YEAR,2009,,,,,,,,,95,95,,,,2025-07-14T16:23:12Z,2009,2009-01-01,2009-12-31
373158,MCV2,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2013,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
3687439,MCV2,COUNTRY,PRT,EUR,Europe,YEAR,2010,,,,,,,,,95,95,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
3700190,MCV2,COUNTRY,KHM,WPR,Western Pacific,YEAR,2006,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
2100259,MCV2,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2019,2019-01-01,2019-12-31
2176482,MCV2,COUNTRY,MCO,EUR,Europe,YEAR,2010,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
784759,MCV2,COUNTRY,ALB,EUR,Europe,YEAR,2008,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2008,2008-01-01,2008-12-31
6331246,MCV2,COUNTRY,VEN,AMR,Americas,YEAR,2012,,,,,,,,,33,33,,,,2025-07-14T16:23:12Z,2012,2012-01-01,2012-12-31
9750182,MCV2,COUNTRY,GTM,AMR,Americas,YEAR,2007,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
5084047,MCV2,COUNTRY,MYS,WPR,Western Pacific,YEAR,2001,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2001,2001-01-01,2001-12-31
5096731,MCV2,COUNTRY,PRY,AMR,Americas,YEAR,2023,,,,,,,,,57,57,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
6648423,MCV2,COUNTRY,ITA,EUR,Europe,YEAR,2000,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2000,2000-01-01,2000-12-31
6661142,MCV2,COUNTRY,SEN,AFR,Africa,YEAR,2004,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
1157871,MCV2,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2007,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
10010110,MCV2,COUNTRY,BWA,AFR,Africa,YEAR,2010,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
6769149,MCV2,COUNTRY,BDI,AFR,Africa,YEAR,2015,,,,,,,,,65,65,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
6807216,MCV2,COUNTRY,BHS,AMR,Americas,YEAR,2021,,,,,,,,,80,80,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
8461927,MCV2,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
5356133,MCV2,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2014,,,,,,,,,76,76,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
31075,MCV2,COUNTRY,GMB,AFR,Africa,YEAR,2012,,,,,,,,,56,56,,,,2025-07-14T16:23:12Z,2012,2012-01-01,2012-12-31
3296514,MCV2,COUNTRY,BHS,AMR,Americas,YEAR,2005,,,,,,,,,88,88,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
7263381,MCV2,COUNTRY,BRB,AMR,Americas,YEAR,2021,,,,,,,,,70,70,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
1872030,MCV2,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
3611483,MCV2,COUNTRY,MWI,AFR,Africa,YEAR,2006,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
5998350,MCV2,COUNTRY,GRC,EUR,Europe,YEAR,2022,,,,,,,,,72,72,,,,2025-07-14T16:23:12Z,2022,2022-01-01,2022-12-31
5056530,MCV2,COUNTRY,AUS,WPR,Western Pacific,YEAR,2015,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
7586722,MCV2,COUNTRY,KGZ,EUR,Europe,YEAR,2010,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
2074897,MCV2,COUNTRY,UZB,EUR,Europe,YEAR,2014,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
3788804,MCV2,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
556973,MCV2,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,89,89,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
9369431,MCV2,COUNTRY,BDI,AFR,Africa,YEAR,2023,,,,,,,,,80,80,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
3820537,MCV2,COUNTRY,CAN,AMR,Americas,YEAR,2015,,,,,,,,,86,86,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
6280420,MCV2,COUNTRY,SWZ,AFR,Africa,YEAR,2016,,,,,,,,,76,76,,,,2025-07-14T16:23:12Z,2016,2016-01-01,2016-12-31
2379592,MCV2,REGION,SEAR,,,YEAR,2024,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2024,2024-01-01,2024-12-31
2544494,MCV2,COUNTRY,MDA,EUR,Europe,YEAR,2005,,,,,,,,,98,98,,,,2025-07-14T16:23:12Z,2005,2005-01-01,2005-12-31
9788278,MCV2,COUNTRY,IRL,EUR,Europe,YEAR,2009,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2009,2009-01-01,2009-12-31
